State,Year,Subject,Score
Pennsylvania,2015,Composite,22.9
Rhode Island,2015,Composite,23.1
South Carolina,2015,Composite,20.4
South Dakota,2015,Composite,21.9
Tennessee,2015,Composite,19.8
Texas,2015,Composite,20.9
Utah,2015,Composite,20.2
Vermont,2015,Composite,23.5
Virginia,2015,Composite,23.1
Washington,2015,Composite,22.4
West Virginia,2015,Composite,20.8
Wisconsin,2015,Composite,22.2
Wyoming,2015,Composite,20.2
Alabama,2015,English,18.8
Alaska,2015,English,20.1
Arizona,2015,English,18.8
Arkansas,2015,English,20.0
California,2015,English,22.1
Colorado,2015,English,20.2
Connecticut,2015,English,24.5
Delaware,2015,English,23.2
District of Columbia,2015,English,20.5
Florida,2015,English,18.9
Georgia,2015,English,20.6
Hawaii,2015,English,17.2
Idaho,2015,English,22.3
Illinois,2015,English,20.3
Indiana,2015,English,21.5
Iowa,2015,English,21.6
Kansas,2015,English,21.3
Kentucky,2015,English,19.5
Louisiana,2015,English,19.2
Maine,2015,English,24.2
Maryland,2015,English,22.3
Massachusetts,2015,English,24.2
Michigan,2015,English,19.4
Minnesota,2015,English,21.8
Mississippi,2015,English,18.7
Missouri,2015,English,21.4
Montana,2015,English,19.1
Nebraska,2015,English,21.1
Nevada,2015,English,20.1
New Hampshire,2015,English,24.1
New Jersey,2015,English,22.9
New Mexico,2015,English,19.1
New York,2015,English,23.0
North Carolina,2015,English,17.6
North Dakota,2015,English,19.6
Ohio,2015,English,21.4
Oklahoma,2015,English,20.1
Oregon,2015,English,20.8
Pennsylvania,2015,English,22.5
Rhode Island,2015,English,23.0
South Carolina,2015,English,19.8
South Dakota,2015,English,21.0
Tennessee,2015,English,19.5
Texas,2015,English,19.8
Utah,2015,English,19.4
Vermont,2015,English,23.2
Virginia,2015,English,22.8
